Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
2002-10-01,11.42,12.89,9.1,12.38,372556800.0,0.0,0.0,JPM,2002,Oct
2002-11-01,12.59,15.6,12.14,15.27,243834500.0,0.0,0.0,JPM,2002,Nov
2002-12-01,15.77,15.86,13.84,14.56,203658000.0,0.0,0.0,JPM,2002,Dec
2003-01-01,15.32,17.17,13.78,14.16,243213700.0,0.0,0.0,JPM,2003,Jan
2003-02-01,14.47,14.69,12.84,13.96,168216300.0,0.0,0.0,JPM,2003,Feb
2003-03-01,14.25,15.33,12.39,14.6,224183400.0,0.0,0.0,JPM,2003,Mar
2003-04-01,14.87,18.28,14.62,18.07,241402800.0,0.0,0.0,JPM,2003,Apr
2003-05-01,18.32,20.65,17.91,20.52,204510000.0,0.0,0.0,JPM,2003,May
2003-06-01,20.82,22.8,20.8,21.34,210944900.0,0.0,0.0,JPM,2003,Jun
2003-07-01,21.13,23.89,20.63,21.88,198713700.0,0.0,0.0,JPM,2003,Jul
2003-07-01,,,,,,0.34,0.0,JPM,2003,Jul
2003-08-01,22.12,22.34,20.43,21.58,183969800.0,0.0,0.0,JPM,2003,Aug
2003-09-01,21.71,22.62,20.91,21.65,173570000.0,0.0,0.0,JPM,2003,Sep
2003-10-01,21.88,23.33,21.79,22.64,201848900.0,0.0,0.0,JPM,2003,Oct
2003-11-01,23.06,23.41,21.94,22.54,119712400.0,0.0,0.0,JPM,2003,Nov
2003-12-01,22.67,23.46,21.97,23.39,145825100.0,0.0,0.0,JPM,2003,Dec
2004-01-01,23.28,25.81,23.11,24.76,292400100.0,0.0,0.0,JPM,2004,Jan
2004-02-01,25.13,26.48,24.81,26.36,161986400.0,0.0,0.0,JPM,2004,Feb
2004-03-01,26.5,28.18,25.99,26.96,213536600.0,0.0,0.0,JPM,2004,Mar
2004-04-01,26.96,27.36,24.07,24.17,205652600.0,0.0,0.0,JPM,2004,Apr
2004-05-01,24.63,25.11,22.43,23.87,200758000.0,0.0,0.0,JPM,2004,May
2004-06-01,23.87,25.17,23.65,25.12,174976400.0,0.0,0.0,JPM,2004,Jun
2004-07-01,25.0,25.04,23.0,24.19,225139100.0,0.0,0.0,JPM,2004,Jul
2004-07-01,,,,,,0.34,0.0,JPM,2004,Jul
2004-08-01,24.33,26.01,23.47,25.87,178960500.0,0.0,0.0,JPM,2004,Aug
2004-09-01,25.83,26.31,25.46,25.97,185980900.0,0.0,0.0,JPM,2004,Sep
2004-10-01,26.08,26.44,23.74,25.23,216650400.0,0.0,0.0,JPM,2004,Oct
2004-11-01,25.56,26.31,24.43,24.82,222462100.0,0.0,0.0,JPM,2004,Nov
2004-12-01,24.92,26.02,24.55,25.72,209201600.0,0.0,0.0,JPM,2004,Dec
2005-01-01,26.02,26.16,24.07,24.61,231082900.0,0.0,0.0,JPM,2005,Jan
2005-02-01,24.94,25.32,23.87,24.3,203306200.0,0.0,0.0,JPM,2005,Feb
2005-03-01,24.6,25.13,22.82,23.01,266804300.0,0.0,0.0,JPM,2005,Mar
2005-04-01,23.13,23.86,22.18,23.6,274126100.0,0.0,0.0,JPM,2005,Apr
2005-05-01,23.9,24.38,22.91,24.01,199696300.0,0.0,0.0,JPM,2005,May
2005-06-01,23.88,24.51,23.51,23.72,197370200.0,0.0,0.0,JPM,2005,Jun
2005-07-01,23.65,24.15,23.04,23.6,187460100.0,0.0,0.0,JPM,2005,Jul
2005-07-01,,,,,,0.34,0.0,JPM,2005,Jul
2005-08-01,23.95,24.18,22.59,22.98,193472900.0,0.0,0.0,JPM,2005,Aug
2005-09-01,22.89,23.74,22.72,23.01,211341400.0,0.0,0.0,JPM,2005,Sep
2005-10-01,23.19,24.96,22.33,24.83,269054600.0,0.0,0.0,JPM,2005,Oct
2005-11-01,25.2,26.84,25.06,26.2,237640300.0,0.0,0.0,JPM,2005,Nov
2005-12-01,26.39,27.78,26.25,27.19,200859300.0,0.0,0.0,JPM,2005,Dec
2006-01-01,27.28,28.0,25.95,27.23,262471900.0,0.0,0.0,JPM,2006,Jan
2006-02-01,27.55,28.98,26.98,28.42,189953500.0,0.0,0.0,JPM,2006,Feb
2006-03-01,28.43,29.31,28.23,28.77,254538100.0,0.0,0.0,JPM,2006,Mar
2006-04-01,28.98,31.71,28.66,31.35,208177900.0,0.0,0.0,JPM,2006,Apr
2006-05-01,31.61,32.6,28.97,29.7,262343700.0,0.0,0.0,JPM,2006,May
2006-06-01,29.77,30.78,27.39,29.25,271716100.0,0.0,0.0,JPM,2006,Jun
2006-07-01,29.29,31.84,28.14,31.77,239719400.0,0.0,0.0,JPM,2006,Jul
2006-08-01,32.15,32.37,30.54,32.06,198516600.0,0.0,0.0,JPM,2006,Aug
2006-09-01,32.19,33.35,31.37,32.97,182171700.0,0.0,0.0,JPM,2006,Sep
2006-10-01,32.97,34.1,32.56,33.31,247025600.0,0.0,0.0,JPM,2006,Oct
2006-11-01,33.77,33.98,32.38,32.73,184245600.0,0.0,0.0,JPM,2006,Nov
2006-12-01,32.88,34.65,32.18,34.16,204996600.0,0.0,0.0,JPM,2006,Dec
2007-01-01,33.95,36.18,33.46,36.02,255322500.0,0.0,0.0,JPM,2007,Jan
2007-02-01,36.29,37.0,33.9,35.18,217186600.0,0.0,0.0,JPM,2007,Feb
2007-03-01,34.88,35.36,32.7,34.46,354058700.0,0.0,0.0,JPM,2007,Mar
2007-04-01,34.46,37.79,33.97,37.11,301906400.0,0.0,0.0,JPM,2007,Apr
2007-05-01,37.58,38.19,36.77,37.18,242848700.0,0.0,0.0,JPM,2007,May
2007-06-01,37.24,37.36,34.47,34.75,323308000.0,0.0,0.0,JPM,2007,Jun
2007-07-01,35.07,36.21,31.2,31.57,517826100.0,0.0,0.0,JPM,2007,Jul
2007-08-01,31.59,34.91,30.48,32.18,670058600.0,0.0,0.0,JPM,2007,Aug
2007-09-01,32.09,34.74,31.23,33.12,347252900.0,0.0,0.0,JPM,2007,Sep
2007-10-01,32.87,34.61,32.24,33.97,427511900.0,0.0,0.0,JPM,2007,Oct
2007-11-01,33.27,33.75,29.26,33.24,632312100.0,0.0,0.0,JPM,2007,Nov
2007-12-01,33.45,34.99,31.18,31.81,462894600.0,0.0,0.0,JPM,2007,Dec
2008-01-01,31.74,35.92,27.44,34.54,894659000.0,0.0,0.0,JPM,2008,Jan
2008-02-01,34.74,35.8,29.68,29.88,630381200.0,0.0,0.0,JPM,2008,Feb
2008-03-01,29.81,35.4,26.47,31.57,1076808500.0,0.0,0.0,JPM,2008,Mar
2008-04-01,33.18,35.76,30.27,35.03,707297700.0,0.0,0.0,JPM,2008,Apr
2008-05-01,35.34,37.02,31.05,31.87,563598400.0,0.0,0.0,JPM,2008,May
2008-06-01,31.59,31.7,25.17,25.43,939120600.0,0.0,0.0,JPM,2008,Jun
